file,group,subject,condition,variable,value
01_ROE_0,high,01,ROE,tot_persistence,0.7813221672605747
01_RCE_0,high,01,RCE,tot_persistence,0.6987463799278951
01_IND1_0,high,01,IND1,tot_persistence,0.716887163503118
01_IND2_0,high,01,IND2,tot_persistence,0.709154490996998
01_NH_0,high,01,NH,tot_persistence,0.6948187079049485
01_POST_0,high,01,POST,tot_persistence,0.6851959509877125
02_ROE_0,high,02,ROE,tot_persistence,0.8057488798617877
02_RCE_0,high,02,RCE,tot_persistence,0.8198352171114692
02_IND1_0,high,02,IND1,tot_persistence,0.832378445778889
02_IND2_0,high,02,IND2,tot_persistence,0.812934191710755
02_NH_0,high,02,NH,tot_persistence,0.8123544039977831
02_POST_0,high,02,POST,tot_persistence,0.8109670210334881
03_ROE_0,high,03,ROE,tot_persistence,0.8473915589380288
03_RCE_0,high,03,RCE,tot_persistence,0.8737396881945638
03_IND1_0,high,03,IND1,tot_persistence,0.8673598429150745
03_IND2_0,high,03,IND2,tot_persistence,0.8909522675729912
03_NH_0,high,03,NH,tot_persistence,0.8499425822222443
03_POST_0,high,03,POST,tot_persistence,0.8492713857155876
04_ROE_0,high,04,ROE,tot_persistence,0.8990311097329631
04_RCE_0,high,04,RCE,tot_persistence,0.7699373817853918
04_IND1_0,high,04,IND1,tot_persistence,0.7273249336860274
04_IND2_0,high,04,IND2,tot_persistence,0.7297742043403038
04_NH_0,high,04,NH,tot_persistence,0.8062170348024204
04_POST_0,high,04,POST,tot_persistence,0.7846650050792124
05_ROE_0,high,05,ROE,tot_persistence,0.8282323613474464
05_RCE_0,high,05,RCE,tot_persistence,0.8001407621640259
05_IND1_0,high,05,IND1,tot_persistence,0.8097383059587226
05_IND2_0,high,05,IND2,tot_persistence,0.8248617987054921
05_NH_0,high,05,NH,tot_persistence,0.8553668009683693
05_POST_0,high,05,POST,tot_persistence,0.8421639687291962
06_ROE_0,high,06,ROE,tot_persistence,0.8860216134326706
06_RCE_0,high,06,RCE,tot_persistence,0.8078848934679225
06_IND1_0,high,06,IND1,tot_persistence,0.8886819823361156
06_IND2_0,high,06,IND2,tot_persistence,0.794562811470211
06_NH_0,high,06,NH,tot_persistence,0.8180751170406645
06_POST_0,high,06,POST,tot_persistence,0.8463811710887307
07_ROE_0,high,07,ROE,tot_persistence,0.7350260169420613
07_RCE_0,high,07,RCE,tot_persistence,0.744043941168821
07_IND1_0,high,07,IND1,tot_persistence,0.7393778012597124
07_IND2_0,high,07,IND2,tot_persistence,0.7388061887774442
07_NH_0,high,07,NH,tot_persistence,0.7275469313264863
07_POST_0,high,07,POST,tot_persistence,0.7108584725843068
08_ROE_0,high,08,ROE,tot_persistence,0.7458054517853555
08_RCE_0,high,08,RCE,tot_persistence,0.7731567987670037
08_IND1_0,high,08,IND1,tot_persistence,0.8219117205049484
08_IND2_0,high,08,IND2,tot_persistence,0.7887866929124934
08_NH_0,high,08,NH,tot_persistence,0.8041456440675848
08_POST_0,high,08,POST,tot_persistence,0.754355736008778
09_ROE_0,high,09,ROE,tot_persistence,0.9335603075108677
09_RCE_0,high,09,RCE,tot_persistence,0.7170026325497602
09_IND1_0,high,09,IND1,tot_persistence,0.6894848766458691
09_IND2_0,high,09,IND2,tot_persistence,0.6910799758654905
09_NH_0,high,09,NH,tot_persistence,0.7149237562492308
09_POST_0,high,09,POST,tot_persistence,0.8202594165900488
10_ROE_0,high,10,ROE,tot_persistence,0.6170753600207779
10_RCE_0,high,10,RCE,tot_persistence,0.6773156901830362
10_IND1_0,high,10,IND1,tot_persistence,0.6845777546026903
10_IND2_0,high,10,IND2,tot_persistence,0.7098608983999648
10_NH_0,high,10,NH,tot_persistence,0.6859282645974669
10_POST_0,high,10,POST,tot_persistence,0.6733075014408378
11_ROE_0,high,11,ROE,tot_persistence,0.5745806350516802
11_RCE_0,high,11,RCE,tot_persistence,0.5715003792425143
11_IND1_0,high,11,IND1,tot_persistence,0.5803953323589854
11_IND2_0,high,11,IND2,tot_persistence,0.5124099514746941
11_NH_0,high,11,NH,tot_persistence,0.5472817647839116
11_POST_0,high,11,POST,tot_persistence,0.5778032709748521
13_ROE_0,high,13,ROE,tot_persistence,0.7804828051705481
13_RCE_0,high,13,RCE,tot_persistence,0.7608653798990317
