file,group,subject,condition,variable,value
01_ROE_0,high,01,ROE,tot_persistence,0.7794855872499837
01_RCE_0,high,01,RCE,tot_persistence,0.6980491889935923
01_IND1_0,high,01,IND1,tot_persistence,0.7185901017625582
01_IND2_0,high,01,IND2,tot_persistence,0.7109407362453385
01_NH_0,high,01,NH,tot_persistence,0.6954567711260736
01_POST_0,high,01,POST,tot_persistence,0.6855333743544999
02_ROE_0,high,02,ROE,tot_persistence,0.8052643848235116
02_RCE_0,high,02,RCE,tot_persistence,0.8187016130797946
02_IND1_0,high,02,IND1,tot_persistence,0.8309085215415742
02_IND2_0,high,02,IND2,tot_persistence,0.8152461211888883
02_NH_0,high,02,NH,tot_persistence,0.8118936918134774
02_POST_0,high,02,POST,tot_persistence,0.8080336346675732
03_ROE_0,high,03,ROE,tot_persistence,0.8468753661874113
03_RCE_0,high,03,RCE,tot_persistence,0.8759414737635881
03_IND1_0,high,03,IND1,tot_persistence,0.8687572016944466
03_IND2_0,high,03,IND2,tot_persistence,0.8867360677993157
03_NH_0,high,03,NH,tot_persistence,0.8450942790685413
03_POST_0,high,03,POST,tot_persistence,0.8492736496504385
04_ROE_0,high,04,ROE,tot_persistence,0.9000668909148497
04_RCE_0,high,04,RCE,tot_persistence,0.7693593909062193
04_IND1_0,high,04,IND1,tot_persistence,0.7282488884120549
04_IND2_0,high,04,IND2,tot_persistence,0.7296312887186589
04_NH_0,high,04,NH,tot_persistence,0.8091900653812074
04_POST_0,high,04,POST,tot_persistence,0.7851518480647747
05_ROE_0,high,05,ROE,tot_persistence,0.8299899475733243
05_RCE_0,high,05,RCE,tot_persistence,0.799871244020794
05_IND1_0,high,05,IND1,tot_persistence,0.8116737162009958
05_IND2_0,high,05,IND2,tot_persistence,0.8258736088526156
05_NH_0,high,05,NH,tot_persistence,0.8545240463160994
05_POST_0,high,05,POST,tot_persistence,0.842888692161177
06_ROE_0,high,06,ROE,tot_persistence,0.8825051277473356
06_RCE_0,high,06,RCE,tot_persistence,0.809581865352605
06_IND1_0,high,06,IND1,tot_persistence,0.889850669710539
06_IND2_0,high,06,IND2,tot_persistence,0.797731382106366
06_NH_0,high,06,NH,tot_persistence,0.8193215516924264
06_POST_0,high,06,POST,tot_persistence,0.8469189057426008
07_ROE_0,high,07,ROE,tot_persistence,0.7354657097107999
07_RCE_0,high,07,RCE,tot_persistence,0.7453289899731221
07_IND1_0,high,07,IND1,tot_persistence,0.7391487623044687
07_IND2_0,high,07,IND2,tot_persistence,0.7388434109077772
07_NH_0,high,07,NH,tot_persistence,0.7302525965008041
07_POST_0,high,07,POST,tot_persistence,0.7105587870283177
08_ROE_0,high,08,ROE,tot_persistence,0.7439800593690888
08_RCE_0,high,08,RCE,tot_persistence,0.7730312176837658
08_IND1_0,high,08,IND1,tot_persistence,0.8224181860964126
08_IND2_0,high,08,IND2,tot_persistence,0.7864957268862965
08_NH_0,high,08,NH,tot_persistence,0.8050273685078205
08_POST_0,high,08,POST,tot_persistence,0.7527214136707774
09_ROE_0,high,09,ROE,tot_persistence,0.9308548532745022
09_RCE_0,high,09,RCE,tot_persistence,0.7149222634619657
09_IND1_0,high,09,IND1,tot_persistence,0.6864285263352006
09_IND2_0,high,09,IND2,tot_persistence,0.6925776573341078
09_NH_0,high,09,NH,tot_persistence,0.7133113150828473
09_POST_0,high,09,POST,tot_persistence,0.8198833619205793
10_ROE_0,high,10,ROE,tot_persistence,0.6164195658973525
10_RCE_0,high,10,RCE,tot_persistence,0.6772125676796978
10_IND1_0,high,10,IND1,tot_persistence,0.6856109545641539
10_IND2_0,high,10,IND2,tot_persistence,0.7101040810767478
10_NH_0,high,10,NH,tot_persistence,0.6862219908163962
10_POST_0,high,10,POST,tot_persistence,0.674202605641006
11_ROE_0,high,11,ROE,tot_persistence,0.5743142919829668
11_RCE_0,high,11,RCE,tot_persistence,0.574873537224274
11_IND1_0,high,11,IND1,tot_persistence,0.5812983800107531
11_IND2_0,high,11,IND2,tot_persistence,0.5128624901963585
11_NH_0,high,11,NH,tot_persistence,0.5495338057748732
11_POST_0,high,11,POST,tot_persistence,0.5765882365210746
13_ROE_0,high,13,ROE,tot_persistence,0.7808059332731795
13_RCE_0,high,13,RCE,tot_persistence,0.7622106679693539
13_IND1_0,high,13,IND1,tot_persistence,0.7725445415477948
13_IND2_0,high,13,IND2,tot_persistence,0.7730129483759391
13_NH_0,high,13,NH,tot_persistence,0.7502332816706603
13_POST_0,high,13,POST,tot_persistence,0.7685579617386554
14_ROE_0,high,14,ROE,tot_persistence,0.8643669298389842
14_RCE_0,high,14,RCE,tot_persistence,0.9205762561850306
14_IND1_0,high,14,IND1,tot_persistence,1.0
14_IND2_0,high,14,IND2,tot_persistence,0.9886522366889772
14_NH_0,high,14,NH,tot_persistence,0.9498681523437462
14_POST_0,high,14,POST,tot_persistence,0.9755136311606083
15_ROE_0,high,15,ROE,tot_persistence,0.7224852629768195
15_RCE_0,high,15,RCE,tot_persistence,0.725063032838433
15_IND1_0,high,15,IND1,tot_persistence,0.7176482533612851
15_IND2_0,high,15,IND2,tot_persistence,0.7254416018085907
15_NH_0,high,15,NH,tot_persistence,0.7208167385324316
15_POST_0,high,15,POST,tot_persistence,0.724927177652466
16_ROE_0,high,16,ROE,tot_persistence,0.6584986627948933
16_RCE_0,high,16,RCE,tot_persistence,0.6622617460440486
16_IND1_0,high,16,IND1,tot_persistence,0.6531789379184306
16_IND2_0,high,16,IND2,tot_persistence,0.6541917246912562
16_NH_0,high,16,NH,tot_persistence,0.6102349951947711
16_POST_0,high,16,POST,tot_persistence,0.6171167870075853
17_ROE_0,low,17,ROE,tot_persistence,0.2828094093664403
17_RCE_0,low,17,RCE,tot_persistence,0.1896209106410327
17_IND1_0,low,17,IND1,tot_persistence,0.2711303222853272
17_IND2_0,low,17,IND2,tot_persistence,0.25021499832146904
17_NH_0,low,17,NH,tot_persistence,0.23624576948825335
17_POST_0,low,17,POST,tot_persistence,0.2464492050307514
18_ROE_0,low,18,ROE,tot_persistence,0.7216329011755283
18_RCE_0,low,18,RCE,tot_persistence,0.678109655247879
18_IND1_0,low,18,IND1,tot_persistence,0.6693088432962663
18_IND2_0,low,18,IND2,tot_persistence,0.6921482512921672
18_NH_0,low,18,NH,tot_persistence,0.6530868330600701
18_POST_0,low,18,POST,tot_persistence,0.6748652658873086
19_ROE_0,low,19,ROE,tot_persistence,0.5527521165466742
19_RCE_0,low,19,RCE,tot_persistence,0.532585765238695
19_IND1_0,low,19,IND1,tot_persistence,0.5380100059774238
19_IND2_0,low,19,IND2,tot_persistence,0.5933261523562461
19_NH_0,low,19,NH,tot_persistence,0.5906710768799096
19_POST_0,low,19,POST,tot_persistence,0.6432786528018538
20_ROE_0,low,20,ROE,tot_persistence,0.5042529531137214
20_RCE_0,low,20,RCE,tot_persistence,0.48926153932801175
20_IND1_0,low,20,IND1,tot_persistence,0.5298215562676701
20_IND2_0,low,20,IND2,tot_persistence,0.49036259125087556
20_NH_0,low,20,NH,tot_persistence,0.5050403396737647
20_POST_0,low,20,POST,tot_persistence,0.5068640595658863
21_ROE_0,low,21,ROE,tot_persistence,0.6723441414276196
21_RCE_0,low,21,RCE,tot_persistence,0.7437495701149125
21_IND1_0,low,21,IND1,tot_persistence,0.7010538137672497
21_IND2_0,low,21,IND2,tot_persistence,0.7109524068280165
21_NH_0,low,21,NH,tot_persistence,0.7016661973837092
21_POST_0,low,21,POST,tot_persistence,0.6904505462089798
22_ROE_0,low,22,ROE,tot_persistence,0.7532865708146866
22_RCE_0,low,22,RCE,tot_persistence,0.7154381366927142
22_IND1_0,low,22,IND1,tot_persistence,0.7038885104835062
22_IND2_0,low,22,IND2,tot_persistence,0.7198171801502163
22_NH_0,low,22,NH,tot_persistence,0.7302957006610417
22_POST_0,low,22,POST,tot_persistence,0.7907920404053453
23_ROE_0,low,23,ROE,tot_persistence,0.8133759329873214
23_RCE_0,low,23,RCE,tot_persistence,0.7156131950490535
23_IND1_0,low,23,IND1,tot_persistence,0.7287611145982397
23_IND2_0,low,23,IND2,tot_persistence,0.7023009478275299
23_NH_0,low,23,NH,tot_persistence,0.7342159661463392
23_POST_0,low,23,POST,tot_persistence,0.7980224715355388
24_ROE_0,low,24,ROE,tot_persistence,0.5653447926857155
24_RCE_0,low,24,RCE,tot_persistence,0.5383967423668706
24_IND1_0,low,24,IND1,tot_persistence,0.5491045471033456
24_IND2_0,low,24,IND2,tot_persistence,0.5493028210625087
24_NH_0,low,24,NH,tot_persistence,0.5474587798289215
24_POST_0,low,24,POST,tot_persistence,0.5423335637447808
25_ROE_0,low,25,ROE,tot_persistence,0.5776728734640211
25_RCE_0,low,25,RCE,tot_persistence,0.559130752533896
25_IND1_0,low,25,IND1,tot_persistence,0.5284491352729986
25_IND2_0,low,25,IND2,tot_persistence,0.5263455123643737
25_NH_0,low,25,NH,tot_persistence,0.5770758443902049
25_POST_0,low,25,POST,tot_persistence,0.5258649074978852
26_ROE_0,low,26,ROE,tot_persistence,0.5793685478451756
26_RCE_0,low,26,RCE,tot_persistence,0.5918051511513376
26_IND1_0,low,26,IND1,tot_persistence,0.6340029088885282
26_IND2_0,low,26,IND2,tot_persistence,0.7369873202476103
26_NH_0,low,26,NH,tot_persistence,0.7441423683664566
26_POST_0,low,26,POST,tot_persistence,0.7128541304199556
27_ROE_0,low,27,ROE,tot_persistence,0.8033217163910115
27_RCE_0,low,27,RCE,tot_persistence,0.7841846236387514
27_IND1_0,low,27,IND1,tot_persistence,0.7688638722974428
27_IND2_0,low,27,IND2,tot_persistence,0.7766133981473224
27_NH_0,low,27,NH,tot_persistence,0.7832042718744805
27_POST_0,low,27,POST,tot_persistence,0.7797216619102839
28_ROE_0,low,28,ROE,tot_persistence,0.82326569579158
28_RCE_0,low,28,RCE,tot_persistence,0.7848319396629266
28_IND1_0,low,28,IND1,tot_persistence,0.8450589856781417
28_IND2_0,low,28,IND2,tot_persistence,0.8373242362678905
28_NH_0,low,28,NH,tot_persistence,0.8324175581053455
28_POST_0,low,28,POST,tot_persistence,0.7937275567275323
29_ROE_0,low,29,ROE,tot_persistence,0.38225265878364034
29_RCE_0,low,29,RCE,tot_persistence,0.39360711348853555
29_IND1_0,low,29,IND1,tot_persistence,0.3666753152378441
29_IND2_0,low,29,IND2,tot_persistence,0.4064460722338183
29_NH_0,low,29,NH,tot_persistence,0.4488077003647434
29_POST_0,low,29,POST,tot_persistence,0.41863721442319174
30_ROE_0,low,30,ROE,tot_persistence,0.6032152682998551
30_RCE_0,low,30,RCE,tot_persistence,0.5944551919375498
30_IND1_0,low,30,IND1,tot_persistence,0.5854559331616042
30_IND2_0,low,30,IND2,tot_persistence,0.6001347091638388
30_NH_0,low,30,NH,tot_persistence,0.5872656748665765
30_POST_0,low,30,POST,tot_persistence,0.5787008234478032
31_ROE_0,low,31,ROE,tot_persistence,0.5810185248851045
31_RCE_0,low,31,RCE,tot_persistence,0.6278474799225049
31_IND1_0,low,31,IND1,tot_persistence,0.6420975614113089
31_IND2_0,low,31,IND2,tot_persistence,0.5429441021030973
31_NH_0,low,31,NH,tot_persistence,0.6243271552923989
31_POST_0,low,31,POST,tot_persistence,0.6117937732054767
01_ROE_0,high,01,ROE,persistent_entropy,0.8730967169118866
01_RCE_0,high,01,RCE,persistent_entropy,0.8332775178336662
01_IND1_0,high,01,IND1,persistent_entropy,0.8453853756221849
01_IND2_0,high,01,IND2,persistent_entropy,0.8338558729365845
01_NH_0,high,01,NH,persistent_entropy,0.8267454124860659
01_POST_0,high,01,POST,persistent_entropy,0.8606408342023254
02_ROE_0,high,02,ROE,persistent_entropy,0.912327584710718
02_RCE_0,high,02,RCE,persistent_entropy,0.9212323219158548
02_IND1_0,high,02,IND1,persistent_entropy,0.9326850971448645
02_IND2_0,high,02,IND2,persistent_entropy,0.925533654552935
02_NH_0,high,02,NH,persistent_entropy,0.9112981139271488
02_POST_0,high,02,POST,persistent_entropy,0.9117128556405429
03_ROE_0,high,03,ROE,persistent_entropy,0.9665883209750293
03_RCE_0,high,03,RCE,persistent_entropy,0.9329164611730845
03_IND1_0,high,03,IND1,persistent_entropy,0.9440019883565245
03_IND2_0,high,03,IND2,persistent_entropy,0.9468363308801144
03_NH_0,high,03,NH,persistent_entropy,0.9506898475427029
03_POST_0,high,03,POST,persistent_entropy,0.9256278384419777
04_ROE_0,high,04,ROE,persistent_entropy,0.940135899511452
04_RCE_0,high,04,RCE,persistent_entropy,0.8876822329613868
04_IND1_0,high,04,IND1,persistent_entropy,0.8785339218671634
04_IND2_0,high,04,IND2,persistent_entropy,0.8815343903497166
04_NH_0,high,04,NH,persistent_entropy,0.9179256898367174
04_POST_0,high,04,POST,persistent_entropy,0.9044039479421229
05_ROE_0,high,05,ROE,persistent_entropy,0.9429028908195825
05_RCE_0,high,05,RCE,persistent_entropy,0.9342283803577632
05_IND1_0,high,05,IND1,persistent_entropy,0.9242402352868997
05_IND2_0,high,05,IND2,persistent_entropy,0.935279924999439
05_NH_0,high,05,NH,persistent_entropy,0.9308479149067538
