file,group,subject,condition,variable,value
01_ROE_0,high,01,ROE,tot_persistence,0.7972830444686431
01_RCE_0,high,01,RCE,tot_persistence,0.6989410950313103
01_IND1_0,high,01,IND1,tot_persistence,0.725663809559673
01_IND2_0,high,01,IND2,tot_persistence,0.708164853947112
01_NH_0,high,01,NH,tot_persistence,0.7068981039863752
01_POST_0,high,01,POST,tot_persistence,0.714716059380838
02_ROE_0,high,02,ROE,tot_persistence,0.8055952779177038
02_RCE_0,high,02,RCE,tot_persistence,0.8270233763936387
02_IND1_0,high,02,IND1,tot_persistence,0.8454389646934786
02_IND2_0,high,02,IND2,tot_persistence,0.8523902134826605
02_NH_0,high,02,NH,tot_persistence,0.8067667419532805
02_POST_0,high,02,POST,tot_persistence,0.8157019728577409
03_ROE_0,high,03,ROE,tot_persistence,0.8541387597321416
03_RCE_0,high,03,RCE,tot_persistence,0.8868107011734109
03_IND1_0,high,03,IND1,tot_persistence,0.8710702509146869
03_IND2_0,high,03,IND2,tot_persistence,0.8943441450413232
03_NH_0,high,03,NH,tot_persistence,0.8467169230130186
03_POST_0,high,03,POST,tot_persistence,0.8389338276808835
04_ROE_0,high,04,ROE,tot_persistence,0.894285355463269
04_RCE_0,high,04,RCE,tot_persistence,0.7546451821527804
04_IND1_0,high,04,IND1,tot_persistence,0.749484419456564
04_IND2_0,high,04,IND2,tot_persistence,0.7190498348549886
04_NH_0,high,04,NH,tot_persistence,0.801677720569396
04_POST_0,high,04,POST,tot_persistence,0.8069675169735415
05_ROE_0,high,05,ROE,tot_persistence,0.8193791377784638
05_RCE_0,high,05,RCE,tot_persistence,0.8034723518307958
05_IND1_0,high,05,IND1,tot_persistence,0.8147510332755404
05_IND2_0,high,05,IND2,tot_persistence,0.8283882404705792
05_NH_0,high,05,NH,tot_persistence,0.868797238034102
05_POST_0,high,05,POST,tot_persistence,0.8797403617879818
06_ROE_0,high,06,ROE,tot_persistence,0.9027613647684036
06_RCE_0,high,06,RCE,tot_persistence,0.8375585011802924
06_IND1_0,high,06,IND1,tot_persistence,0.8842148071136628
06_IND2_0,high,06,IND2,tot_persistence,0.7999065578714574
06_NH_0,high,06,NH,tot_persistence,0.8435010357482753
06_POST_0,high,06,POST,tot_persistence,0.8676112054389599
07_ROE_0,high,07,ROE,tot_persistence,0.7438643794947355
07_RCE_0,high,07,RCE,tot_persistence,0.7579314914968097
07_IND1_0,high,07,IND1,tot_persistence,0.7490600865923956
07_IND2_0,high,07,IND2,tot_persistence,0.737611857332077
07_NH_0,high,07,NH,tot_persistence,0.7439969769588105
07_POST_0,high,07,POST,tot_persistence,0.6987636419748692
08_ROE_0,high,08,ROE,tot_persistence,0.7164469215394205
08_RCE_0,high,08,RCE,tot_persistence,0.758427564055308
08_IND1_0,high,08,IND1,tot_persistence,0.8305905226787632
08_IND2_0,high,08,IND2,tot_persistence,0.7938149221736555
08_NH_0,high,08,NH,tot_persistence,0.8126253965928686
08_POST_0,high,08,POST,tot_persistence,0.7693466949445665
09_ROE_0,high,09,ROE,tot_persistence,0.9211374642147179
09_RCE_0,high,09,RCE,tot_persistence,0.7103709992205627
09_IND1_0,high,09,IND1,tot_persistence,0.6810823999028743
