file,group,subject,condition,variable,value
01_ROE_0,high,01,ROE,tot_persistence,0.7428012253196039
01_ROE_1,high,01,ROE,tot_persistence,0.7351103151600474
01_ROE_2,high,01,ROE,tot_persistence,0.7754250642995076
01_ROE_3,high,01,ROE,tot_persistence,0.7278737929888397
01_ROE_4,high,01,ROE,tot_persistence,0.7200298731467661
01_ROE_5,high,01,ROE,tot_persistence,0.731985180013208
01_RCE_0,high,01,RCE,tot_persistence,0.6116098774081878
01_RCE_1,high,01,RCE,tot_persistence,0.6833919902708994
01_RCE_2,high,01,RCE,tot_persistence,0.6534097995034853
01_RCE_3,high,01,RCE,tot_persistence,0.6685481118556003
01_RCE_4,high,01,RCE,tot_persistence,0.687826220768117
01_RCE_5,high,01,RCE,tot_persistence,0.6955268957816679
01_IND1_0,high,01,IND1,tot_persistence,0.6686209760844318
01_IND1_1,high,01,IND1,tot_persistence,0.7074389105474194
01_IND1_2,high,01,IND1,tot_persistence,0.6936543565734984
01_IND1_3,high,01,IND1,tot_persistence,0.6889570261108399
01_IND1_4,high,01,IND1,tot_persistence,0.6996019331957255
01_IND1_5,high,01,IND1,tot_persistence,0.6675756480253981
01_IND2_0,high,01,IND2,tot_persistence,0.6834569934386514
01_IND2_1,high,01,IND2,tot_persistence,0.740633257232822
01_IND2_2,high,01,IND2,tot_persistence,0.6769049500425041
01_IND2_3,high,01,IND2,tot_persistence,0.6906373476274226
01_IND2_4,high,01,IND2,tot_persistence,0.6637105170212728
01_IND2_5,high,01,IND2,tot_persistence,0.633694362342376
01_NH_0,high,01,NH,tot_persistence,0.6572055329635937
01_NH_1,high,01,NH,tot_persistence,0.6680569777240274
01_NH_2,high,01,NH,tot_persistence,0.6516177618352008
01_NH_3,high,01,NH,tot_persistence,0.6431488194961916
01_NH_4,high,01,NH,tot_persistence,0.7107081042848356
01_NH_5,high,01,NH,tot_persistence,0.6970658100061923
01_POST_0,high,01,POST,tot_persistence,0.671400074592061
01_POST_1,high,01,POST,tot_persistence,0.6393141987158114
01_POST_2,high,01,POST,tot_persistence,0.620397161474135
01_POST_3,high,01,POST,tot_persistence,0.6369838254970158
01_POST_4,high,01,POST,tot_persistence,0.6486203336748605
01_POST_5,high,01,POST,tot_persistence,0.6468256910584546
02_ROE_0,high,02,ROE,tot_persistence,0.8385142560326533
02_ROE_1,high,02,ROE,tot_persistence,0.8861599107596106
02_ROE_2,high,02,ROE,tot_persistence,0.78695776428616
02_ROE_3,high,02,ROE,tot_persistence,0.7567444548721467
02_ROE_4,high,02,ROE,tot_persistence,0.6435444669354029
02_ROE_5,high,02,ROE,tot_persistence,0.7413579610174439
02_RCE_0,high,02,RCE,tot_persistence,0.7779999042693717
02_RCE_1,high,02,RCE,tot_persistence,0.7925892688730338
02_RCE_2,high,02,RCE,tot_persistence,0.7706542033911155
02_RCE_3,high,02,RCE,tot_persistence,0.8097065375815663
02_RCE_4,high,02,RCE,tot_persistence,0.8057007361499313
02_RCE_5,high,02,RCE,tot_persistence,0.7612160935133534
02_IND1_0,high,02,IND1,tot_persistence,0.8530848973827008
02_IND1_1,high,02,IND1,tot_persistence,0.7985394963129475
02_IND1_2,high,02,IND1,tot_persistence,0.7425171486792036
02_IND1_3,high,02,IND1,tot_persistence,0.7625787323775539
02_IND1_4,high,02,IND1,tot_persistence,0.802463797143067
02_IND1_5,high,02,IND1,tot_persistence,0.7978847917729444
02_IND2_0,high,02,IND2,tot_persistence,0.8205732709090168
02_IND2_1,high,02,IND2,tot_persistence,0.7844170400947471
02_IND2_2,high,02,IND2,tot_persistence,0.7869966297047617
02_IND2_3,high,02,IND2,tot_persistence,0.7445655543005945
02_IND2_4,high,02,IND2,tot_persistence,0.776547812144663
02_IND2_5,high,02,IND2,tot_persistence,0.7657263609340451
02_NH_0,high,02,NH,tot_persistence,0.7385651960484434
02_NH_1,high,02,NH,tot_persistence,0.7636346559305651
02_NH_2,high,02,NH,tot_persistence,0.772253836539505
02_NH_3,high,02,NH,tot_persistence,0.7839476097305748
02_NH_4,high,02,NH,tot_persistence,0.7685887350121449
02_NH_5,high,02,NH,tot_persistence,0.8537428954516433
02_POST_0,high,02,POST,tot_persistence,0.7895340371809602
02_POST_1,high,02,POST,tot_persistence,0.7788950525989071
02_POST_2,high,02,POST,tot_persistence,0.7931063530692867
02_POST_3,high,02,POST,tot_persistence,0.8012400550268471
02_POST_4,high,02,POST,tot_persistence,0.7746046050739726
02_POST_5,high,02,POST,tot_persistence,0.7234214784128375
03_ROE_0,high,03,ROE,tot_persistence,0.7909996154290205
03_ROE_1,high,03,ROE,tot_persistence,0.8752902974101675
03_ROE_2,high,03,ROE,tot_persistence,0.7475992300464955
03_ROE_3,high,03,ROE,tot_persistence,0.701571127487785
03_ROE_4,high,03,ROE,tot_persistence,0.8357876704370755
03_ROE_5,high,03,ROE,tot_persistence,0.8679495244338922
03_RCE_0,high,03,RCE,tot_persistence,0.8058573222424958
03_RCE_1,high,03,RCE,tot_persistence,0.8183661437732958
03_RCE_2,high,03,RCE,tot_persistence,0.7206565635993838
03_RCE_3,high,03,RCE,tot_persistence,0.8817307158299851
03_RCE_4,high,03,RCE,tot_persistence,0.7956486706423546
03_RCE_5,high,03,RCE,tot_persistence,0.8344746485578138
03_IND1_0,high,03,IND1,tot_persistence,0.823423866410568
03_IND1_1,high,03,IND1,tot_persistence,0.8099790618580034
03_IND1_2,high,03,IND1,tot_persistence,0.8136428001238806
03_IND1_3,high,03,IND1,tot_persistence,0.7753487109827563
03_IND1_4,high,03,IND1,tot_persistence,0.7854364480912526
03_IND1_5,high,03,IND1,tot_persistence,0.809130248826907
03_IND2_0,high,03,IND2,tot_persistence,0.8333569322403351
03_IND2_1,high,03,IND2,tot_persistence,0.7959792750706709
03_IND2_2,high,03,IND2,tot_persistence,0.877685515081247
03_IND2_3,high,03,IND2,tot_persistence,0.8375422017939763
03_IND2_4,high,03,IND2,tot_persistence,0.8027208901318688
03_IND2_5,high,03,IND2,tot_persistence,0.7992769767738612
03_NH_0,high,03,NH,tot_persistence,0.7644711738946149
03_NH_1,high,03,NH,tot_persistence,0.7663341253787402
03_NH_2,high,03,NH,tot_persistence,0.8099731402086133
03_NH_3,high,03,NH,tot_persistence,0.7797559507833124
03_NH_4,high,03,NH,tot_persistence,0.7952757594580345
03_NH_5,high,03,NH,tot_persistence,0.7797219938506628
03_POST_0,high,03,POST,tot_persistence,0.772243785251103
03_POST_1,high,03,POST,tot_persistence,0.7637912020957209
03_POST_2,high,03,POST,tot_persistence,0.8604920384376556
03_POST_3,high,03,POST,tot_persistence,0.8287381800360394
03_POST_4,high,03,POST,tot_persistence,0.7951101181705983
03_POST_5,high,03,POST,tot_persistence,0.8883753308492165
04_ROE_0,high,04,ROE,tot_persistence,0.8163806990718947
04_ROE_1,high,04,ROE,tot_persistence,0.7813124817026014
04_ROE_2,high,04,ROE,tot_persistence,0.8186009064061583
04_ROE_3,high,04,ROE,tot_persistence,0.7566413325310418
04_ROE_4,high,04,ROE,tot_persistence,0.7826164472213033
04_ROE_5,high,04,ROE,tot_persistence,0.7528314641315188
04_RCE_0,high,04,RCE,tot_persistence,0.6299936104195057
04_RCE_1,high,04,RCE,tot_persistence,0.707926026956411
04_RCE_2,high,04,RCE,tot_persistence,0.6676790897439118
04_RCE_3,high,04,RCE,tot_persistence,0.6426920050133845
04_RCE_4,high,04,RCE,tot_persistence,0.7701014890889675
04_RCE_5,high,04,RCE,tot_persistence,0.6996289057714473
04_IND1_0,high,04,IND1,tot_persistence,0.7212664532658335
04_IND1_1,high,04,IND1,tot_persistence,0.6768289470738732
04_IND1_2,high,04,IND1,tot_persistence,0.7005595974744232
04_IND1_3,high,04,IND1,tot_persistence,0.6624367093250547
04_IND1_4,high,04,IND1,tot_persistence,0.6595465660988584
04_IND1_5,high,04,IND1,tot_persistence,0.6542863616620781
04_IND2_0,high,04,IND2,tot_persistence,0.7028658588252136
04_IND2_1,high,04,IND2,tot_persistence,0.7244154963257623
04_IND2_2,high,04,IND2,tot_persistence,0.6583495812570191
04_IND2_3,high,04,IND2,tot_persistence,0.7183389990912633
04_IND2_4,high,04,IND2,tot_persistence,0.7046892664639272
04_IND2_5,high,04,IND2,tot_persistence,0.7099033286211688
04_NH_0,high,04,NH,tot_persistence,0.7698331772861678
04_NH_1,high,04,NH,tot_persistence,0.7601393993722299
04_NH_2,high,04,NH,tot_persistence,0.7282058513862337
04_NH_3,high,04,NH,tot_persistence,0.7748559680486533
04_NH_4,high,04,NH,tot_persistence,0.7627912638021208
04_NH_5,high,04,NH,tot_persistence,0.7774656810582625
04_POST_0,high,04,POST,tot_persistence,0.7021087140905008
04_POST_1,high,04,POST,tot_persistence,0.7448852356417857
04_POST_2,high,04,POST,tot_persistence,0.7519223041885504
04_POST_3,high,04,POST,tot_persistence,0.6586523789785222
04_POST_4,high,04,POST,tot_persistence,0.7217292356618775
04_POST_5,high,04,POST,tot_persistence,0.7297484570506352
05_ROE_0,high,05,ROE,tot_persistence,0.795462866389949
05_ROE_1,high,05,ROE,tot_persistence,0.7215527365992439
05_ROE_2,high,05,ROE,tot_persistence,0.7551197712654356
05_ROE_3,high,05,ROE,tot_persistence,0.7907916089079501
05_ROE_4,high,05,ROE,tot_persistence,0.7402999963156046
05_ROE_5,high,05,ROE,tot_persistence,0.7826429251351438
05_RCE_0,high,05,RCE,tot_persistence,0.6318355618315986
05_RCE_1,high,05,RCE,tot_persistence,0.7889237700546682
05_RCE_2,high,05,RCE,tot_persistence,0.7200445995765674
05_RCE_3,high,05,RCE,tot_persistence,0.7167149216124606
05_RCE_4,high,05,RCE,tot_persistence,0.7249994920787038
05_RCE_5,high,05,RCE,tot_persistence,0.800663881151508
05_IND1_0,high,05,IND1,tot_persistence,0.8084723915337665
05_IND1_1,high,05,IND1,tot_persistence,0.6586218079791265
05_IND1_2,high,05,IND1,tot_persistence,0.6740172145873982
05_IND1_3,high,05,IND1,tot_persistence,0.7121894669504526
05_IND1_4,high,05,IND1,tot_persistence,0.8113920495316724
05_IND1_5,high,05,IND1,tot_persistence,0.7001091223490077
05_IND2_0,high,05,IND2,tot_persistence,0.7085625770699904
05_IND2_1,high,05,IND2,tot_persistence,0.7966766814763755
05_IND2_2,high,05,IND2,tot_persistence,0.8280524915905692
05_IND2_3,high,05,IND2,tot_persistence,0.7547973584244081
05_IND2_4,high,05,IND2,tot_persistence,0.6993693117519165
05_IND2_5,high,05,IND2,tot_persistence,0.7867010276016969
05_NH_0,high,05,NH,tot_persistence,0.7324789380687194
05_NH_1,high,05,NH,tot_persistence,0.8528611082760561
05_NH_2,high,05,NH,tot_persistence,0.7923305709109423
05_NH_3,high,05,NH,tot_persistence,0.7211613598692563
05_NH_4,high,05,NH,tot_persistence,0.6809915455115833
05_NH_5,high,05,NH,tot_persistence,0.7846308550298008
