file,group,subject,condition,variable,value
01_ROE_0,high,01,ROE,tot_persistence,0.21407603102453635
01_ROE_1,high,01,ROE,tot_persistence,0.3894213734301166
01_ROE_2,high,01,ROE,tot_persistence,0.5043069389156528
01_ROE_3,high,01,ROE,tot_persistence,0.5511740463100643
01_ROE_4,high,01,ROE,tot_persistence,0.6307557592458262
01_ROE_5,high,01,ROE,tot_persistence,0.32270037309558486
01_RCE_0,high,01,RCE,tot_persistence,0.22432396782376746
01_RCE_1,high,01,RCE,tot_persistence,0.36615589539791193
01_RCE_2,high,01,RCE,tot_persistence,0.3449459701519933
01_RCE_3,high,01,RCE,tot_persistence,0.36993341396406454
01_RCE_4,high,01,RCE,tot_persistence,0.24429743922148217
01_RCE_5,high,01,RCE,tot_persistence,0.16742441678733982
01_IND1_0,high,01,IND1,tot_persistence,0.20082320185581448
01_IND1_1,high,01,IND1,tot_persistence,0.22473956819670107
01_IND1_2,high,01,IND1,tot_persistence,0.16496509550710714
01_IND1_3,high,01,IND1,tot_persistence,0.2661103854025385
01_IND1_4,high,01,IND1,tot_persistence,0.32427950155308033
01_IND1_5,high,01,IND1,tot_persistence,0.2683872798033335
01_IND2_0,high,01,IND2,tot_persistence,0.25086273742712145
01_IND2_1,high,01,IND2,tot_persistence,0.211146088884674
01_IND2_2,high,01,IND2,tot_persistence,0.04733570378805479
01_IND2_3,high,01,IND2,tot_persistence,0.20567926592323477
01_IND2_4,high,01,IND2,tot_persistence,0.16328073980645386
01_IND2_5,high,01,IND2,tot_persistence,0.24021157199154008
01_NH_0,high,01,NH,tot_persistence,0.26022458795818837
01_NH_1,high,01,NH,tot_persistence,0.20933257225409083
01_NH_2,high,01,NH,tot_persistence,0.179839431954639
01_NH_3,high,01,NH,tot_persistence,0.28411000246355017
01_NH_4,high,01,NH,tot_persistence,0.18481210526287375
01_NH_5,high,01,NH,tot_persistence,0.23501440789948427
01_POST_0,high,01,POST,tot_persistence,0.10417973946832304
01_POST_1,high,01,POST,tot_persistence,0.31097363137551576
01_POST_2,high,01,POST,tot_persistence,0.2703601444011099
01_POST_3,high,01,POST,tot_persistence,0.6230972044194183
01_POST_4,high,01,POST,tot_persistence,0.3766265684437759
01_POST_5,high,01,POST,tot_persistence,0.22583125023281359
02_ROE_0,high,02,ROE,tot_persistence,0.2815049196322994
02_ROE_1,high,02,ROE,tot_persistence,0.32300831686617704
02_ROE_2,high,02,ROE,tot_persistence,0.36597171398128603
02_ROE_3,high,02,ROE,tot_persistence,0.45422259516384766
02_ROE_4,high,02,ROE,tot_persistence,0.12903932700632229
02_ROE_5,high,02,ROE,tot_persistence,0.4645902903732054
02_RCE_0,high,02,RCE,tot_persistence,0.4691284233045007
02_RCE_1,high,02,RCE,tot_persistence,0.47311650882730155
02_RCE_2,high,02,RCE,tot_persistence,0.2989923018106284
02_RCE_3,high,02,RCE,tot_persistence,0.2808677527041917
02_RCE_4,high,02,RCE,tot_persistence,0.44117387715468415
02_RCE_5,high,02,RCE,tot_persistence,0.5211215685526471
02_IND1_0,high,02,IND1,tot_persistence,0.43948776691684266
02_IND1_1,high,02,IND1,tot_persistence,0.43011889823702304
02_IND1_2,high,02,IND1,tot_persistence,0.459998666551737
02_IND1_3,high,02,IND1,tot_persistence,0.513218818140151
02_IND1_4,high,02,IND1,tot_persistence,0.2307139472749878
02_IND1_5,high,02,IND1,tot_persistence,0.5874703370744865
02_IND2_0,high,02,IND2,tot_persistence,0.6271353617342817
02_IND2_1,high,02,IND2,tot_persistence,0.6750757735124628
02_IND2_2,high,02,IND2,tot_persistence,0.44405212792969473
02_IND2_3,high,02,IND2,tot_persistence,0.40307932073677605
02_IND2_4,high,02,IND2,tot_persistence,0.35724050709903743
02_IND2_5,high,02,IND2,tot_persistence,0.2876624004120193
02_NH_0,high,02,NH,tot_persistence,0.36510411783579727
02_NH_1,high,02,NH,tot_persistence,0.17693679761152603
02_NH_2,high,02,NH,tot_persistence,0.4843478637205078
02_NH_3,high,02,NH,tot_persistence,0.5968132476015476
02_NH_4,high,02,NH,tot_persistence,0.3859933001872766
02_NH_5,high,02,NH,tot_persistence,0.16022343626198282
02_POST_0,high,02,POST,tot_persistence,0.4334910062423734
02_POST_1,high,02,POST,tot_persistence,0.4845233849215254
02_POST_2,high,02,POST,tot_persistence,0.5365676141947278
02_POST_3,high,02,POST,tot_persistence,0.5917728896471689
02_POST_4,high,02,POST,tot_persistence,0.318501900568668
02_POST_5,high,02,POST,tot_persistence,0.37226978267672556
03_ROE_0,high,03,ROE,tot_persistence,0.3173754876938561
03_ROE_1,high,03,ROE,tot_persistence,0.2620470572272446
03_ROE_2,high,03,ROE,tot_persistence,0.10713271553229689
03_ROE_3,high,03,ROE,tot_persistence,0.07471539157401061
03_ROE_4,high,03,ROE,tot_persistence,0.09623789436822355
03_ROE_5,high,03,ROE,tot_persistence,0.47566904551917294
03_RCE_0,high,03,RCE,tot_persistence,0.3970946843641584
03_RCE_1,high,03,RCE,tot_persistence,0.29879381416769885
03_RCE_2,high,03,RCE,tot_persistence,0.283053051266137
03_RCE_3,high,03,RCE,tot_persistence,0.3328586035575536
03_RCE_4,high,03,RCE,tot_persistence,0.2011179641034288
03_RCE_5,high,03,RCE,tot_persistence,0.5781358393283019
03_IND1_0,high,03,IND1,tot_persistence,0.26897190059206183
03_IND1_1,high,03,IND1,tot_persistence,0.35241588973660526
03_IND1_2,high,03,IND1,tot_persistence,0.15600620368359233
03_IND1_3,high,03,IND1,tot_persistence,0.2864382733122657
03_IND1_4,high,03,IND1,tot_persistence,0.41938859867544137
03_IND1_5,high,03,IND1,tot_persistence,0.4168251523613101
03_IND2_0,high,03,IND2,tot_persistence,0.33437924744210973
03_IND2_1,high,03,IND2,tot_persistence,0.2319026687140466
03_IND2_2,high,03,IND2,tot_persistence,0.42865300491036473
03_IND2_3,high,03,IND2,tot_persistence,0.42047128308494786
03_IND2_4,high,03,IND2,tot_persistence,0.31742690912990973
03_IND2_5,high,03,IND2,tot_persistence,0.23770285374124014
03_NH_0,high,03,NH,tot_persistence,0.3424534476295843
03_NH_1,high,03,NH,tot_persistence,0.2772702316582932
03_NH_2,high,03,NH,tot_persistence,0.24692955992068413
03_NH_3,high,03,NH,tot_persistence,0.17976880058578149
03_NH_4,high,03,NH,tot_persistence,0.36738890765393906
03_NH_5,high,03,NH,tot_persistence,0.12812642781087205
03_POST_0,high,03,POST,tot_persistence,0.31882446548249505
03_POST_1,high,03,POST,tot_persistence,0.31176029386968307
03_POST_2,high,03,POST,tot_persistence,0.48109796597853416
03_POST_3,high,03,POST,tot_persistence,0.5615112845533605
03_POST_4,high,03,POST,tot_persistence,0.3417170368800118
03_POST_5,high,03,POST,tot_persistence,0.5998364951293148
04_ROE_0,high,04,ROE,tot_persistence,0.7809817976214234
04_ROE_1,high,04,ROE,tot_persistence,0.40204652816680014
04_ROE_2,high,04,ROE,tot_persistence,0.569384095363325
04_ROE_3,high,04,ROE,tot_persistence,0.5313802575156725
04_ROE_4,high,04,ROE,tot_persistence,0.8645885763253369
04_ROE_5,high,04,ROE,tot_persistence,0.5133639948454397
04_RCE_0,high,04,RCE,tot_persistence,0.22269557736060383
04_RCE_1,high,04,RCE,tot_persistence,0.4314315394885137
04_RCE_2,high,04,RCE,tot_persistence,0.47216424501544985
04_RCE_3,high,04,RCE,tot_persistence,0.1218423391777717
04_RCE_4,high,04,RCE,tot_persistence,0.2912469648756051
04_RCE_5,high,04,RCE,tot_persistence,0.506558864902616
04_IND1_0,high,04,IND1,tot_persistence,0.4531011309836691
04_IND1_1,high,04,IND1,tot_persistence,0.3070188820592904
04_IND1_2,high,04,IND1,tot_persistence,0.5608605761972107
04_IND1_3,high,04,IND1,tot_persistence,0.4761791884536697
04_IND1_4,high,04,IND1,tot_persistence,0.6020740024196417
04_IND1_5,high,04,IND1,tot_persistence,0.5544931807887715
04_IND2_0,high,04,IND2,tot_persistence,0.4999017234233954
04_IND2_1,high,04,IND2,tot_persistence,0.4826504164731427
04_IND2_2,high,04,IND2,tot_persistence,0.2887759916689176
04_IND2_3,high,04,IND2,tot_persistence,0.4150289336678771
04_IND2_4,high,04,IND2,tot_persistence,0.5732196261270203
04_IND2_5,high,04,IND2,tot_persistence,0.6821061815314357
04_NH_0,high,04,NH,tot_persistence,0.8505421789840276
04_NH_1,high,04,NH,tot_persistence,0.4869762953928013
04_NH_2,high,04,NH,tot_persistence,0.5423567771293288
04_NH_3,high,04,NH,tot_persistence,0.675906884282064
04_NH_4,high,04,NH,tot_persistence,0.665302371540435
04_NH_5,high,04,NH,tot_persistence,0.9782794594441878
04_POST_0,high,04,POST,tot_persistence,0.4847026401375845
04_POST_1,high,04,POST,tot_persistence,0.40825142643873397
04_POST_2,high,04,POST,tot_persistence,0.4714869261786126
04_POST_3,high,04,POST,tot_persistence,0.47374452067033757
04_POST_4,high,04,POST,tot_persistence,0.41059328370362463
04_POST_5,high,04,POST,tot_persistence,0.43235647300954955
05_ROE_0,high,05,ROE,tot_persistence,0.6417870968995798
05_ROE_1,high,05,ROE,tot_persistence,0.33318620714228003
05_ROE_2,high,05,ROE,tot_persistence,0.36863618114813673
05_ROE_3,high,05,ROE,tot_persistence,0.6086929939620527
05_ROE_4,high,05,ROE,tot_persistence,0.21841891545848036
05_ROE_5,high,05,ROE,tot_persistence,0.2760045580176861
05_RCE_0,high,05,RCE,tot_persistence,0.2904542064894122
05_RCE_1,high,05,RCE,tot_persistence,0.6156373846706715
05_RCE_2,high,05,RCE,tot_persistence,0.38989361386253535
05_RCE_3,high,05,RCE,tot_persistence,0.619400484540188
05_RCE_4,high,05,RCE,tot_persistence,0.6730668284319962
05_RCE_5,high,05,RCE,tot_persistence,0.5974490198975314
05_IND1_0,high,05,IND1,tot_persistence,0.3582759089807291
05_IND1_1,high,05,IND1,tot_persistence,0.20240147553878238
05_IND1_2,high,05,IND1,tot_persistence,0.1673179298764572
05_IND1_3,high,05,IND1,tot_persistence,0.36565398529175974
05_IND1_4,high,05,IND1,tot_persistence,0.0785627317226262
05_IND1_5,high,05,IND1,tot_persistence,0.29236869898458184
05_IND2_0,high,05,IND2,tot_persistence,0.5323628883173197
05_IND2_1,high,05,IND2,tot_persistence,0.011966213552189204
05_IND2_2,high,05,IND2,tot_persistence,0.4539309820855455
05_IND2_3,high,05,IND2,tot_persistence,0.5281827259605462
05_IND2_4,high,05,IND2,tot_persistence,0.41069968063824125
05_IND2_5,high,05,IND2,tot_persistence,0.19303607094520608
05_NH_0,high,05,NH,tot_persistence,0.33317235079730667
05_NH_1,high,05,NH,tot_persistence,0.2132499139377015
05_NH_2,high,05,NH,tot_persistence,0.5955194338837302
05_NH_3,high,05,NH,tot_persistence,0.31064591532045677
05_NH_4,high,05,NH,tot_persistence,0.0
05_NH_5,high,05,NH,tot_persistence,0.34540053024813117
05_POST_0,high,05,POST,tot_persistence,0.18069875028365018
05_POST_1,high,05,POST,tot_persistence,0.7418347438312722
05_POST_2,high,05,POST,tot_persistence,0.7013081289417478
05_POST_3,high,05,POST,tot_persistence,0.5121617769664718
05_POST_4,high,05,POST,tot_persistence,0.1122312206486173
05_POST_5,high,05,POST,tot_persistence,0.25613669626225993
06_ROE_0,high,06,ROE,tot_persistence,0.1810782251857605
06_ROE_1,high,06,ROE,tot_persistence,0.3857284550481274
06_ROE_2,high,06,ROE,tot_persistence,0.20078433210887633
06_ROE_3,high,06,ROE,tot_persistence,0.28288043179969985
06_ROE_4,high,06,ROE,tot_persistence,0.352974282443777
06_ROE_5,high,06,ROE,tot_persistence,0.2789800506422416
06_RCE_0,high,06,RCE,tot_persistence,0.32862076641423527
06_RCE_1,high,06,RCE,tot_persistence,0.40744074028152855
06_RCE_2,high,06,RCE,tot_persistence,0.3791492780034483
06_RCE_3,high,06,RCE,tot_persistence,0.3007304633183859
06_RCE_4,high,06,RCE,tot_persistence,0.32975622190378623
06_RCE_5,high,06,RCE,tot_persistence,0.3044897616906612
06_IND1_0,high,06,IND1,tot_persistence,0.5071934225190079
06_IND1_1,high,06,IND1,tot_persistence,0.22956099140168806
06_IND1_2,high,06,IND1,tot_persistence,0.33382787288369076
06_IND1_3,high,06,IND1,tot_persistence,0.25728483840532546
06_IND1_4,high,06,IND1,tot_persistence,0.3351625808144328
06_IND1_5,high,06,IND1,tot_persistence,0.4098270008337201
06_IND2_0,high,06,IND2,tot_persistence,0.41311059468733335
06_IND2_1,high,06,IND2,tot_persistence,0.3454854678432923
06_IND2_2,high,06,IND2,tot_persistence,0.2711014588571827
06_IND2_3,high,06,IND2,tot_persistence,0.2785268851782277
06_IND2_4,high,06,IND2,tot_persistence,0.29231003445911036
06_IND2_5,high,06,IND2,tot_persistence,0.25878906162132553
06_NH_0,high,06,NH,tot_persistence,0.36300222727249004
06_NH_1,high,06,NH,tot_persistence,0.1080155851489494
06_NH_2,high,06,NH,tot_persistence,0.3535120705860208
06_NH_3,high,06,NH,tot_persistence,0.3179601084825845
06_NH_4,high,06,NH,tot_persistence,0.47895918514614216
06_NH_5,high,06,NH,tot_persistence,0.47044509099389764
06_POST_0,high,06,POST,tot_persistence,0.3798344922576323
06_POST_1,high,06,POST,tot_persistence,0.6119003779183128
06_POST_2,high,06,POST,tot_persistence,0.3040362588156496
06_POST_3,high,06,POST,tot_persistence,0.3098612098100763
06_POST_4,high,06,POST,tot_persistence,0.24979033280601243
06_POST_5,high,06,POST,tot_persistence,0.29331916327111235
07_ROE_0,high,07,ROE,tot_persistence,0.25506530387414406
07_ROE_1,high,07,ROE,tot_persistence,0.6436867882989825
07_ROE_2,high,07,ROE,tot_persistence,0.4936570331477963
07_ROE_3,high,07,ROE,tot_persistence,0.5814637689870166
