file,group,subject,condition,variable,value
01_ROE_0,high,01,ROE,tot_persistence,0.4517036276060299
01_RCE_0,high,01,RCE,tot_persistence,0.20352472457394408
01_IND1_0,high,01,IND1,tot_persistence,0.16985399718369099
01_IND2_0,high,01,IND2,tot_persistence,0.21670438533395947
01_NH_0,high,01,NH,tot_persistence,0.18682198026607197
01_POST_0,high,01,POST,tot_persistence,0.415302767726493
02_ROE_0,high,02,ROE,tot_persistence,0.33751840317825954
02_RCE_0,high,02,RCE,tot_persistence,0.32248728420110295
02_IND1_0,high,02,IND1,tot_persistence,0.46743744120695385
02_IND2_0,high,02,IND2,tot_persistence,0.46156297580406763
02_NH_0,high,02,NH,tot_persistence,0.3067412762350546
02_POST_0,high,02,POST,tot_persistence,0.4607049956868667
03_ROE_0,high,03,ROE,tot_persistence,0.0958774931413496
03_RCE_0,high,03,RCE,tot_persistence,0.36058905402053887
03_IND1_0,high,03,IND1,tot_persistence,0.1499142155879436
03_IND2_0,high,03,IND2,tot_persistence,0.18866586800374935
03_NH_0,high,03,NH,tot_persistence,0.29764001862428613
03_POST_0,high,03,POST,tot_persistence,0.4659286038508173
04_ROE_0,high,04,ROE,tot_persistence,1.0
04_RCE_0,high,04,RCE,tot_persistence,0.6269563059577996
04_IND1_0,high,04,IND1,tot_persistence,0.6620430076671731
04_IND2_0,high,04,IND2,tot_persistence,0.5719262867401148
04_NH_0,high,04,NH,tot_persistence,0.7960066763469072
04_POST_0,high,04,POST,tot_persistence,0.665274559757353
05_ROE_0,high,05,ROE,tot_persistence,0.4887294373651395
05_RCE_0,high,05,RCE,tot_persistence,0.4781746930295241
05_IND1_0,high,05,IND1,tot_persistence,0.43966751723496716
05_IND2_0,high,05,IND2,tot_persistence,0.4368284061071738
05_NH_0,high,05,NH,tot_persistence,0.14902584022235632
05_POST_0,high,05,POST,tot_persistence,0.45783344936113085
06_ROE_0,high,06,ROE,tot_persistence,0.17129184429527428
06_RCE_0,high,06,RCE,tot_persistence,0.273502066174241
06_IND1_0,high,06,IND1,tot_persistence,0.22724027146923378
06_IND2_0,high,06,IND2,tot_persistence,0.31869610594935877
06_NH_0,high,06,NH,tot_persistence,0.2990008463070725
06_POST_0,high,06,POST,tot_persistence,0.3628939250256886
07_ROE_0,high,07,ROE,tot_persistence,0.4879361689810801
07_RCE_0,high,07,RCE,tot_persistence,0.5667267273148203
07_IND1_0,high,07,IND1,tot_persistence,0.6753920295725594
07_IND2_0,high,07,IND2,tot_persistence,0.5711870316870804
07_NH_0,high,07,NH,tot_persistence,0.6274067041536864
07_POST_0,high,07,POST,tot_persistence,0.5006202353294874
08_ROE_0,high,08,ROE,tot_persistence,0.5475604945907564
08_RCE_0,high,08,RCE,tot_persistence,0.6959158033940137
08_IND1_0,high,08,IND1,tot_persistence,0.7446953038411933
08_IND2_0,high,08,IND2,tot_persistence,0.572912171694485
